GC,FG,Biomass,
0,0,1.20071e+011,
0,1,1.32009e+011,
0,2,2.46601e+011,
0,3,1.9334e+011,
0,4,3.11887e+011,
0,5,1.94918e+011,
0,6,2.67963e+010,
0,7,6.51617e+010,
0,8,1.39421e+010,
1,0,1.37569e+011,
1,1,3.63309e+009,
1,2,1.89483e+011,
1,3,1.18955e+012,
1,4,4.23162e+011,
1,5,3.62306e+011,
1,6,4.741e+009,
1,7,1.38622e+011,
1,8,1.85157e+011,
2,0,8.69925e+010,
2,1,7.56891e+010,
2,2,2.76456e+010,
2,3,2.68103e+009,
2,4,1.79212e+006,
2,5,5.01813e+008,
2,6,1.31636e+010,
2,7,2.48619e+010,
2,8,2.8406e+010,
3,0,2.28765e+011,
3,1,3.00173e+011,
3,2,2.9661e+011,
3,3,1.41377e+010,
3,4,1.90094e+010,
3,5,9.64408e+011,
3,6,1.43653e+011,
3,7,4.18756e+010,
3,8,1.4526e+011,
4,0,5.50106e+011,
4,1,2.86218e+011,
4,2,1.21639e+011,
4,3,1.04444e+012,
4,4,2.4465e+008,
4,5,1.35539e+008,
4,6,7.56381e+010,
4,7,1.76483e+011,
4,8,8.11899e+010,
5,0,4.71945e+011,
5,1,1.39043e+011,
5,2,1.19445e+011,
5,3,1.84362e+012,
5,4,2.63164e+011,
5,5,3.90409e+011,
5,6,1.43638e+010,
5,7,5.88072e+010,
5,8,8.96124e+009,
6,0,1.95426e+011,
6,1,9.99533e+010,
6,2,8.93509e+010,
6,3,1.85304e+011,
6,4,2.3701e+011,
6,5,3.15003e+011,
6,6,2.8621e+010,
6,7,1.07767e+011,
6,8,3.97512e+010,
7,0,4.49397e+011,
7,1,1.3407e+011,
7,2,6.57137e+010,
7,3,9.47704e+010,
7,4,9.8516e+010,
7,5,3.50503e+010,
7,6,1.05723e+011,
7,7,1.55345e+011,
7,8,6.2641e+010,
8,0,2.07871e+011,
8,1,9.96295e+010,
8,2,1.69481e+011,
8,3,1.14402e+012,
8,4,1.18533e+012,
8,5,5.78732e+011,
8,6,2.90716e+010,
8,7,5.86159e+010,
8,8,1.43179e+011,
9,0,1.56623e+011,
9,1,1.32569e+011,
9,2,1.18143e+011,
9,3,4.25447e+012,
9,4,7.64017e+010,
9,5,1.45407e+012,
9,6,7.00248e+010,
9,7,2.38538e+010,
9,8,1.89742e+010,
10,0,2.84335e+011,
10,1,4.89624e+010,
10,2,1.9931e+011,
10,3,8.89622e+011,
10,4,9.54508e+008,
10,5,1.44195e+010,
10,6,2.08295e+010,
10,7,3.5701e+010,
10,8,9.4327e+009,
11,0,1.72131e+011,
11,1,7.37189e+010,
11,2,2.40953e+011,
11,3,3.31259e+011,
11,4,6.47241e+010,
11,5,1.20699e+011,
11,6,3.22388e+010,
11,7,4.52676e+010,
11,8,4.63209e+010,
12,0,3.26772e+011,
12,1,6.73889e+010,
12,2,4.41957e+011,
12,3,2.25287e+012,
12,4,4.62794e+010,
12,5,3.57906e+011,
12,6,1.08181e+012,
12,7,7.45272e+011,
12,8,7.03916e+010,
13,0,5.93463e+011,
13,1,8.74088e+010,
13,2,2.69541e+011,
13,3,7.39013e+011,
13,4,9.93124e+010,
13,5,4.7562e+011,
13,6,2.96e+010,
13,7,7.60306e+010,
13,8,1.37841e+011,
14,0,1.43415e+011,
14,1,2.33859e+010,
14,2,2.86443e+011,
14,3,4.59941e+011,
14,4,8.53128e+010,
14,5,7.66537e+011,
14,6,1.28056e+010,
14,7,1.34359e+011,
14,8,8.92418e+009,
15,0,1.7559e+011,
15,1,5.21205e+010,
15,2,3.84452e+011,
15,3,3.01535e+012,
15,4,7.95329e+011,
15,5,3.9176e+011,
15,6,4.11623e+010,
15,7,1.57259e+011,
15,8,7.73771e+010,
