GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.49948e+012
0,1,1.0692e+013
1,0,1.89203e+012
1,1,6.62351e+012
2,0,2.62434e+012
2,1,1.73684e+013
3,0,2.3723e+012
3,1,1.48209e+013
4,0,2.58768e+012
4,1,1.1907e+013
5,0,1.99626e+012
5,1,7.42015e+012
6,0,2.68935e+012
6,1,2.07966e+013
7,0,2.50738e+012
7,1,1.82518e+013
8,0,2.95446e+012
8,1,1.42549e+013
9,0,1.57667e+012
9,1,4.97312e+012
10,0,2.91927e+012
10,1,2.12751e+013
11,0,2.01694e+012
11,1,7.02602e+012
12,0,3.38678e+012
12,1,1.99011e+013
13,0,3.08362e+012
13,1,1.40836e+013
14,0,2.98234e+012
14,1,1.32081e+013
15,0,3.2282e+012
15,1,1.97546e+013
